N	P	K	temperature	humidity	ph	rainfall	label
40	17	41	24.1078672	88.48887756	5.758449325	109.1034621	pomegranate
70	59	45	35.81112974	92.90520256	6.664314742	170.6723178	papaya
28	68	21	25.83364293	62.75395815	7.126536365	40.72555507	lentil
21	71	19	23.53726582	22.43062348	5.664275142	146.1961145	kidneybeans
22	28	26	27.67256197	45.41692012	4.947683034	92.84991507	mango
19	65	25	18.09551014	18.29318436	5.625096446	144.7902323	kidneybeans
21	74	18	20.44810585	21.42651411	5.554163179	74.50359633	kidneybeans
49	67	24	29.55044575	63.09136674	6.686435435	61.49943237	blackgram
95	16	46	27.0767265	90.14362622	6.74669542	24.4514648	muskmelon
27	48	15	29.60477767	84.57835345	7.13239238	56.48916349	mungbean
16	61	25	24.27999915	54.48492997	5.544077928	159.7090512	pigeonpeas
22	12	10	25.20231932	90.27329856	6.630236799	107.5015681	orange
39	62	21	34.74984856	66.899622	6.991417713	67.29184816	blackgram
40	44	15	29.43047363	43.5979352	6.450325909	47.00781974	mothbeans
40	75	24	26.35361409	64.10935682	6.667503362	48.42699872	lentil
61	56	46	29.87035094	93.13769079	6.80899587	205.6092546	papaya
113	86	53	28.57938405	84.22271498	6.104980209	92.56775385	banana
54	61	79	19.2762268	18.21483867	6.05697894	90.19182873	chickpea
18	9	31	26.39995203	95.70395967	5.793482005	173.0892268	coconut
16	40	28	32.0888585	46.10837923	5.469412944	89.67561198	mango
70	45	37	23.82743154	80.12267476	6.292586304	237.4321053	rice
74	44	41	20.09881099	80.12267476	5.210676729	206.6221659	rice
21	23	42	19.54128063	90.29751796	6.902751061	104.3739878	pomegranate
63	43	17	19.28889933	65.47050802	6.807487794	71.3195307	maize
26	51	25	28.76488954	52.62741529	7.792508068	55.21606732	mothbeans
101	21	45	27.15747869	92.08340353	6.600060537	27.05719118	muskmelon
101	48	20	23.55766553	83.70082787	7.994679507	90.35094685	cotton
14	69	18	31.6996669	63.24041163	6.323353942	176.2917689	pigeonpeas
74	41	42	24.11649101	80.58155047	6.490549371	275.962814	rice
40	68	18	26.46408873	46.5970864	4.548202098	159.6500255	pigeonpeas
29	22	40	23.62600218	89.73266695	6.145104401	107.6836871	pomegranate
9	39	19	27.21494194	57.66653494	7.91286411	63.39708961	mothbeans
94	90	55	25.01018457	81.4785012	5.615309704	102.4802072	banana
29	11	31	28.95137454	93.91023082	5.87446373	174.2074782	coconut
123	50	16	23.04920461	75.53835214	6.498052108	70.65644296	cotton
56	79	15	29.48439992	63.19915325	7.454532137	71.89090748	blackgram
10	59	19	26.68041083	51.29230967	5.507575772	43.69473238	mothbeans
52	69	79	20.49625554	19.43999493	8.122004093	77.63205073	chickpea
34	60	15	16.67256996	18.09224048	5.829785009	97.88622371	kidneybeans
16	11	30	27.26811941	94.90269424	5.814231016	220.1002951	coconut
52	62	15	32.92303661	66.15431283	7.495917238	60.41790253	blackgram
21	134	202	10.72302459	80.02130636	6.425419926	65.2982112	grapes
23	135	201	23.63140303	92.74137837	6.219449262	115.9141803	apple
23	58	20	28.51093269	83.71373951	6.477526418	43.43725544	mungbean
4	35	33	29.30158163	51.12480082	5.351928735	96.28474021	mango
0	60	20	26.33573722	55.91671089	7.363713518	67.24280973	mothbeans
14	66	25	20.80862944	21.95774396	5.773520107	136.1611987	kidneybeans
106	13	54	25.6801741	87.8529901	6.503779657	45.35372031	watermelon
19	15	7	12.38832768	92.78397515	6.666569216	113.8191771	orange
102	32	32	24.67521759	59.27292115	6.681389485	195.4121217	coffee
12	43	20	29.94307658	49.11718282	5.574764759	34.93133233	mothbeans
131	35	25	23.2468381	82.12602764	7.140880104	66.84357666	cotton
98	53	38	20.26707606	81.63895217	5.01450727	270.4417274	rice
10	32	30	29.74547246	48.92965772	5.074428895	99.01877785	mango
108	25	34	24.25726277	60.64299025	6.210314428	160.4862432	coffee
40	55	18	30.38257873	40.5926071	7.115994051	47.95406479	mothbeans
31	69	45	33.44609001	91.2991418	6.779298211	248.8592986	papaya
99	43	40	24.36024091	80.12267476	6.434477239	220.3266415	rice
15	10	15	22.69802569	92.48603857	6.247858757	119.6946577	orange
3	18	29	26.34697647	97.90761807	6.125340961	188.1333074	coconut
51	52	51	34.46948189	94.94482086	6.610332358	232.7001825	papaya
26	20	29	27.25985138	96.71527276	6.061491189	199.7598685	coconut
47	49	53	34.06947597	92.255334	6.773320851	94.90188082	papaya
140	40	17	22.72767171	77.07598065	6.006085786	77.55176318	cotton
21	35	20	29.04897472	86.17578816	6.620036159	46.0180547	mungbean
0	26	39	19.41442301	93.33488794	5.766770444	103.9518819	pomegranate
132	48	23	24.05535547	76.05661129	6.763459754	60.65381719	cotton
40	120	197	23.80593812	92.48879468	5.889480679	119.6335548	apple
6	63	23	26.01630259	49.94704718	5.906596905	160.3337447	pigeonpeas
0	64	23	18.1051096	20.39942735	5.99812453	79.03578595	kidneybeans
32	70	20	29.36363845	45.90781923	6.567574398	145.0428318	pigeonpeas
27	50	22	29.89384992	85.25408911	6.84984806	46.28530858	mungbean
20	12	32	27.06760775	92.37550722	5.61074274	175.4453086	coconut
24	75	23	26.05547344	60.09116626	6.969600996	50.94480181	lentil
82	36	17	20.67169172	64.60028783	6.989638076	81.01433499	maize
140	38	18	22.10652093	75.49885795	6.433930682	82.4412648	cotton
115	48	16	25.54359718	84.09229796	7.175934962	88.94245493	cotton
120	24	50	29.10829965	92.6207649	6.104596188	25.35789793	muskmelon
103	28	53	28.71797642	92.20774344	6.450712856	24.5000279	muskmelon
110	30	52	28.84179454	90.64071699	6.283582235	24.0996593	muskmelon
120	18	55	24.04355803	86.53702515	6.376415566	48.82917404	watermelon
37	40	22	29.36422637	50.18220365	4.918108331	33.64612591	mothbeans
11	72	22	25.65569033	65.61689522	6.970681338	48.85571988	lentil
1	7	41	24.79825135	90.73357177	6.41011709	105.3416757	pomegranate
5	7	35	24.96273236	90.52096185	6.599237112	102.5184759	pomegranate
94	85	55	25.93211655	81.81470318	5.699524578	105.9727126	banana
92	76	55	28.48628934	75.74707738	6.193807483	102.3103457	banana
131	46	18	24.27537603	81.2092096	6.060220642	72.78998949	cotton
44	70	18	33.50184818	65.09109169	7.033291087	73.48948646	blackgram
105	28	35	26.42829541	50.04557009	6.711560623	156.8149585	coffee
10	43	25	29.58672601	82.99420906	7.199495368	52.99035069	mungbean
73	53	21	22.13701973	62.49256146	6.041087098	60.65171481	maize
10	55	23	21.18853178	19.63438599	5.728233081	137.1948633	kidneybeans
22	42	19	30.02013702	56.07873637	7.244536491	50.7825205	mothbeans
40	64	79	19.38601735	18.95657993	8.555433417	76.73764609	chickpea
9	29	12	26.31091499	93.10378323	6.771681122	116.4110067	orange
80	29	31	27.92374437	67.30754238	6.47325376	140.1291703	coffee
20	73	83	18.22338589	18.62619646	7.539257091	84.47728205	chickpea
27	40	29	30.94899909	50.79967545	5.648781002	95.88906542	mango
23	49	19	28.69991373	53.29509524	5.398847801	50.14996024	mothbeans
20	73	20	30.52844876	62.54927248	7.580695844	69.77332575	blackgram
34	49	20	31.82064645	61.77790356	7.161443385	64.16855663	mothbeans
29	74	21	18.94080123	60.09116626	6.484693635	53.97570162	lentil
47	50	54	33.9323154	94.94482086	6.501521192	135.9582839	papaya
48	52	52	35.05930316	94.09522452	6.704780257	248.8592986	papaya
0	23	35	27.06568444	93.90767755	5.704814504	203.6523878	coconut
21	14	28	28.35200756	95.08237928	6.003328568	131.0900076	coconut
14	76	20	29.05941162	62.10652364	7.042474679	36.5011366	lentil
94	44	43	26.92995077	81.82278803	6.555744131	298.5601175	rice
38	25	25	25.00872392	97.80115079	6.028516601	178.6611189	coconut
31	57	47	38.40285908	90.75524811	6.60754096	248.8592986	papaya
108	15	52	28.32649552	90.33303308	6.220597962	24.35871549	muskmelon
40	72	22	36.97794384	49.30995108	4.569904225	165.2461139	pigeonpeas
31	59	52	36.93180524	94.94482086	6.533978177	114.6014584	papaya
17	27	38	23.88566574	88.24210638	6.407864276	106.1178555	pomegranate
2	61	20	22.13974653	23.02251117	5.95561668	76.64128258	kidneybeans
104	23	48	29.06936787	90.20495807	6.131729862	26.35744465	muskmelon
40	23	40	18.07132963	92.65879106	5.816566709	102.5184759	pomegranate
57	62	80	20.60167551	14.38439226	8.291636545	91.75046503	chickpea
121	53	19	23.51308653	76.72621429	7.976889498	80.11272117	cotton
14	131	201	23.43356209	93.76717934	5.690871178	115.4567104	apple
101	24	27	24.10218712	69.94807345	7.034930694	192.9141002	coffee
89	60	19	25.19192419	66.6902901	5.913664501	78.06639649	maize
92	90	47	27.02473917	82.4971046	5.758348584	102.3843224	banana
94	70	48	25.13686519	84.88394407	6.195152442	91.46442491	banana
61	52	41	24.97669518	83.891805	6.880431223	204.8001847	rice
55	67	16	34.37329112	69.69366426	6.596719015	70.27184748	blackgram
22	73	21	36.73984521	47.21978443	6.842239128	143.4219418	pigeonpeas
80	50	38	20.8644719	81.84824629	6.5317081	220.2566626	rice
72	56	40	26.02306107	77.4322014	6.105474639	178.7958429	jute
31	26	35	24.24342939	88.68125368	5.830552885	106.4787038	pomegranate
39	13	41	21.29838583	91.08038617	6.151332301	106.7833263	pomegranate
26	128	200	22.24760788	93.03945824	5.718105432	111.7193574	apple
21	65	20	19.95084414	20.79341174	5.99812453	60.27552528	kidneybeans
18	14	41	22.65780835	85.57374438	5.99172306	105.8386215	pomegranate
87	60	20	23.34964604	61.77480436	5.956877198	83.48291023	maize
22	64	15	31.09629368	64.2669221	7.090563554	69.93926874	blackgram
16	53	21	29.89706431	49.19280011	7.296508834	64.12022865	mothbeans
41	52	51	26.74205294	91.90595597	6.504591026	191.0715763	papaya
40	50	22	28.65111691	82.65673213	6.520956117	59.87232071	mungbean
40	64	16	16.43340342	24.24045875	5.926676985	140.3717815	kidneybeans
97	34	29	27.12931829	53.99922914	7.286675746	172.951126	coffee
99	17	47	25.2736798	81.67358684	6.705277303	59.75980023	watermelon
98	24	45	24.04355803	84.79455646	6.50051261	47.07955548	watermelon
32	136	198	17.76653592	83.6469605	6.325223871	73.36574962	grapes
107	27	30	23.71015106	60.05424809	6.707926893	137.2612662	coffee
22	75	80	17.5607672	16.7476234	8.359974443	75.99020021	chickpea
104	25	55	29.81196601	90.36881284	6.123802502	22.68766503	muskmelon
49	66	51	32.54086219	90.78433196	6.718899883	144.0819613	papaya
40	6	41	22.06171553	88.04144557	5.561851831	111.2418948	pomegranate
83	45	37	23.45734086	82.49583764	5.005306977	241.0220568	rice
12	24	29	26.59249397	91.43507383	6.074236046	156.7506435	coconut
11	68	16	21.95862396	59.73988509	5.278347227	117.2804554	pigeonpeas
99	83	53	29.90888522	78.67755129	5.875586518	93.78818133	banana
31	5	14	17.66545409	91.69865887	6.583411671	110.6857506	orange
73	42	45	23.87895771	79.47193705	7.043934932	150.2355238	jute
20	64	20	24.10707878	46.26100802	5.379401386	130.2036898	pigeonpeas
98	25	46	25.24079416	88.9438496	6.687872606	54.00772392	watermelon
112	15	33	23.05951896	60.34625743	6.020947179	179.0733021	coffee
22	17	5	24.12188673	90.72351622	6.945562889	102.835632	orange
24	57	15	27.21260182	86.51055052	6.732418218	50.05244571	mungbean
100	14	49	29.48882958	91.07574233	6.365956658	26.01909355	muskmelon
15	43	21	27.99147936	53.09537803	6.490059067	63.15049749	mothbeans
13	26	33	25.00872392	94.73801939	5.50158009	187.7484889	coconut
7	56	23	26.33908791	40.00933429	5.545219232	55.50429227	mothbeans
40	145	203	24.41355912	83.07953498	6.152159314	69.60948925	grapes
93	26	27	24.59245684	56.46829641	7.288211994	137.7044047	coffee
52	58	16	30.64095781	61.14508627	7.167435834	71.36947525	blackgram
92	22	53	29.23204127	94.96218673	6.235377454	24.15539246	muskmelon
122	40	22	23.88515592	80.47966604	7.215281631	92.61229506	cotton
28	8	11	13.18288632	91.49861979	7.680580116	111.9052988	orange
0	127	200	22.42348808	92.11210688	5.548066734	117.0019052	apple
15	137	203	21.84947296	90.02575116	5.888852825	103.0396655	apple
36	27	26	26.58413917	95.78923137	6.25449571	171.6262299	coconut
40	145	203	14.86571298	82.19333104	5.94453662	74.38720877	grapes
97	25	50	26.22005978	80.90127035	6.093814669	49.08553937	watermelon
125	39	22	24.88124246	75.8076688	6.423120196	87.33285746	cotton
102	37	25	25.31468463	77.91757121	5.907930899	72.82902109	cotton
5	19	25	27.3511056	54.43945147	6.441328044	96.27792547	mango
75	45	45	24.40831701	78.99676038	6.874270243	164.2857601	jute
18	60	19	27.57791579	83.19409611	6.367502844	51.38599085	mungbean
30	37	25	29.89129144	80.14487166	7.120032489	54.7960127	mungbean
60	55	19	26.31623464	59.94358978	6.748645745	69.44265734	maize
103	38	34	25.21269099	69.94807345	6.329109599	175.6465609	coffee
20	68	20	25.87021475	65.19953188	7.11312408	68.22533451	blackgram
111	30	47	28.49621128	90.64724367	6.724272371	21.21555719	muskmelon
137	52	15	24.59715926	81.91135467	6.334033503	81.38383824	cotton
14	59	20	29.08296891	86.40989054	7.199495368	46.07313164	mungbean
14	39	19	25.16934289	41.96322884	8.398515854	65.70128248	mothbeans
38	68	80	19.26837584	15.22210494	7.535951766	88.0731862	chickpea
11	16	11	34.39964418	91.06016537	7.08836834	112.2107232	orange
86	48	16	19.91571252	70.39926193	6.064836731	60.65171481	maize
16	145	201	22.92181854	94.11089302	5.523315059	120.769526	apple
11	46	24	27.65280218	89.80650642	6.459252023	56.52558045	mungbean
117	32	25	25.07208607	57.35901086	6.020947179	186.4879894	coffee
60	52	22	19.68828111	64.81249769	5.909148487	95.04805577	maize
100	57	21	20.06968713	55.28220433	6.249553912	72.23478363	maize
71	35	42	24.41230915	73.41038532	7.400642023	188.076969	jute
70	63	48	36.82503819	93.01072484	6.79662072	248.8592986	papaya
22	58	20	22.54767441	64.53400313	6.622014411	171.7547321	pigeonpeas
23	62	19	27.18516959	43.84245194	4.548202098	161.4417871	pigeonpeas
16	5	31	26.81012267	96.70078527	6.470465614	158.2693206	coconut
9	46	18	27.15769751	53.55404836	7.026632375	57.93312152	mothbeans
21	72	17	27.95282486	69.03490076	6.780328448	45.47740759	lentil
27	80	15	24.78078041	64.63944248	7.219375196	44.84125328	lentil
27	66	15	27.79611684	57.49900215	6.169800893	174.9455503	pigeonpeas
20	73	22	27.47284012	68.13553281	7.772284217	65.16118395	blackgram
100	34	35	25.00542704	50.22958217	6.038214446	199.4735636	coffee
100	70	49	27.29272497	79.0185028	5.623277524	107.6407019	banana
30	30	29	30.78609226	54.9640534	5.483775409	91.26354433	mango
49	69	80	18.44479814	16.64619286	7.33360888	76.56566384	chickpea
84	39	42	23.61105052	82.27565739	6.466790087	265.2591661	rice
97	22	55	25.28756539	81.27819506	6.754852671	51.8548191	watermelon
31	80	17	18.31910448	41.67915007	5.342379701	150.9520692	pigeonpeas
130	59	19	25.07278712	82.50257909	6.520403794	93.51042684	cotton
16	59	19	28.86142337	52.11352879	5.747564838	196.442625	pigeonpeas
86	24	29	25.9459787	54.25435534	6.34400449	156.800011	coffee
38	25	28	28.15449053	90.90191844	6.470465614	225.6323656	coconut
119	44	15	22.14593688	82.8597549	7.091992365	60.65381719	cotton
41	62	15	29.38400259	64.14928485	7.358974541	65.24194361	blackgram
28	35	18	27.25469196	64.01383256	6.948402701	42.02660291	mothbeans
81	40	38	26.35441233	80.8300097	7.066964035	220.0685769	rice
98	11	53	26.04033476	89.98405233	6.682322486	50.02053826	watermelon
20	71	19	29.51824673	65.95573019	6.885422257	69.40746335	blackgram
21	73	21	25.71946337	41.50621956	7.09996071	100.8653956	pigeonpeas
40	80	21	23.96685048	30.40046769	5.571693161	165.0284295	pigeonpeas
27	17	32	25.04969431	93.34937915	6.323506807	188.9159953	coconut
0	65	18	26.29201488	64.31292895	7.36624237	43.72443851	lentil
39	51	18	29.39790385	80.40955717	7.080978603	49.2550439	mungbean
31	56	53	30.94422041	92.62824864	6.87420578	178.1924358	papaya
27	133	199	19.98939091	82.16619346	5.510924849	71.04668863	grapes
30	61	17	22.05373919	69.92375891	7.841496029	45.16861502	lentil
100	13	47	24.18000876	87.66296973	6.542811173	45.77881331	watermelon
12	18	43	24.96273236	88.36745771	6.915574443	107.1772999	pomegranate
11	6	13	15.46698276	92.6858757	6.600568197	117.4671469	orange
111	57	16	24.13740102	77.22945908	6.423302292	78.64153415	cotton
94	32	27	27.63196467	65.13724386	6.467284252	163.1551277	coffee
126	38	23	25.36243778	83.63276077	6.176716425	88.43618918	cotton
32	70	19	36.97794384	54.03768942	6.8301425	142.5472816	pigeonpeas
110	27	32	26.40543139	56.60827404	6.020947179	161.5109106	coffee
30	24	11	18.00105576	90.33808936	7.429551465	104.9658838	orange
86	54	40	22.9710445	83.15094843	6.806834942	216.1074167	rice
116	85	50	26.20567185	84.67915093	5.594671431	90.10978128	banana
27	75	20	26.18853076	65.38235794	6.745901217	44.10008966	lentil
88	32	30	23.39522288	52.45825212	6.75390934	141.4015414	coffee
22	44	20	29.9145443	89.99615558	6.814961231	58.61737273	mungbean
13	135	200	22.60255392	92.17818374	5.713363233	110.0610406	apple
20	77	23	34.87248659	38.83786012	5.180271502	148.2502786	pigeonpeas
6	80	21	28.1646824	69.57479631	5.91645379	43.19366541	lentil
12	65	21	18.07068175	67.12611357	6.477976463	44.87874111	lentil
95	55	42	26.79533926	82.1480873	5.950660556	193.3473987	rice
7	80	24	29.94413861	65.71379102	6.963407663	51.35261204	lentil
60	36	43	23.43121862	83.06310136	5.286203711	219.9048349	rice
10	24	26	27.08495604	97.02798936	5.913843798	161.4178909	coconut
40	46	22	28.71929976	88.60983726	6.954876201	52.41054385	mungbean
117	34	25	24.83846178	56.7685316	7.21270048	124.4135035	coffee
96	31	30	25.14441165	52.98868811	7.416967803	159.937645	coffee
0	145	196	21.64297695	92.99037922	6.243316055	121.686527	apple
18	19	29	27.59376845	92.48519606	6.206077742	162.8432736	coconut
6	124	200	22.98208095	93.84505029	5.971332179	109.5852253	apple
22	17	26	28.69818144	47.71875722	4.754435025	99.642454	mango
122	54	20	25.5181242	79.75951669	6.812633779	88.06209645	cotton
47	64	79	19.85865409	17.33241604	7.178306922	82.38922092	chickpea
48	56	53	41.64803124	90.72018894	6.618859331	159.8068071	papaya
88	46	42	22.68319059	83.46358271	6.604993475	194.2651719	rice
26	69	20	30.04606571	42.32356388	5.8249848	164.7321423	pigeonpeas
22	71	19	23.4338358	64.8532832	7.592110369	52.75641501	lentil
2	35	30	31.38306576	47.16462159	5.477711893	90.86228324	mango
21	20	38	19.36207403	90.88429664	6.779791057	105.6539905	pomegranate
60	66	84	17.76421838	15.51241999	7.32407624	68.38521807	chickpea
113	56	25	23.90528531	78.80297268	7.161602964	92.68917341	cotton
16	139	203	17.82803682	80.96093443	6.27564088	65.84748763	grapes
24	68	17	25.79344262	60.09116626	7.502065068	51.77205116	lentil
